year,refugees_under_unhc_rs_mandate,asylum_seekers,id_ps_of_concern_to_unhcr,venezuelans_displaced_abroad,palestine
2000,12129080,947322,5998501,0,3806055
2001,12116301,943383,5096502,0,3926787
2002,10593526,1093121,4646641,0,4025694
2003,9592279,995567,4181701,0,4136449
2004,9572778,884285,5426539,0,4232510
2005,8661294,801119,6616791,0,4349946
2006,9877009,740253,12794268,0,4448429
2007,11390156,739958,13740317,0,4562820
2008,10488995,823931,14442227,0,4671811
2009,10395780,988030,15628057,0,4766670
2010,10548900,835969,14697804,0,4691079
2011,10403951,895692,15473378,0,4797723
2012,10497028,941497,17670368,0,4919917
2013,11698238,1162934,23925555,0,5030049
2014,14384302,1794703,32274619,0,5149742
2015,16110280,3223460,37494172,0,5241257
2016,17184291,2729521,36627127,0,5340443
2017,19940568,3089503,39118516,0,5442947
2018,20359556,3501627,41425168,2592947,5545540
2019,20414675,4170548,43503362,3582202,5629829
2020,20650304,4138889,48557439,3856327,5703521
