year,removals,returns,country
2019,359885,171445,United States
2018,328716,159940,United States
2017,287093,100695,United States
2016,331717,106458,United States
2015,325328,129661,United States
2014,405090,163843,United States
2013,432228,178976,United States
2012,415607,231107,United States
2011,390423,322047,United States
2010,382449,471798,United States
2009,379739,582567,United States
2008,359795,811263,United States
2007,319382,891390,United States
2006,280974,1043381,United States
2005,246431,1096920,United States
2004,240665,1166576,United States
2003,211098,945294,United States
2002,165168,1012116,United States
2001,189026,1349371,United States
2000,188467,1675876,United States
